ingredient,Protein,Total lipid (fat),Carbohydrate,Fiber,Calcium,Iron,Sodium,Vitamin A,Vitamin C,Cholesterol,Magnesium,Phosphorus,Potassium,Zinc,Copper,Selenium,Vitamin E,Vitamin D,Thiamin,Riboflavin,Niacin,Folate,Choline,Vitamin K,Manganese,Pantothenic acid,Biotin
fruit juice,0.0,0.0,5.0,1.0,0.0,2.0,0.0,5.0,1.0,0.0,,,2.0,,,,,,,,,,,,,,
garlic,0.0,0.0,12.0,,51.0,,0.0,,89.0,,,,,,,,,,,,,,,,,,
ginger,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
goat cheese,50.0,41.0,0.0,0.0,55.0,0.0,30.0,199.0,5.0,32.0,,,,,,,,,,,,,,,,,
gouda,50.0,41.0,0.0,0.0,55.0,0.0,40.0,119.0,0.0,36.0,,,,,,,,,,,,,,,,,
grape,0.0,0.0,5.0,,,,0.0,,23.0,,,,,,,,,,,,,,,,,,
grapefruit,0.0,0.0,4.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
green bean,0.0,0.0,2.0,6.0,1.0,2.0,14.0,28.0,0.0,0.0,,,,,,,,,,,,,,,,,
green onion,4.0,0.0,3.0,9.0,6.0,8.0,1.0,6.0,21.0,0.0,5.0,3.0,6.0,4.0,9.0,1.0,0.0,0.0,5.0,6.0,3.0,16.0,1.0,172.0,,,
scallion,4.0,0.0,3.0,9.0,6.0,8.0,1.0,6.0,21.0,0.0,5.0,3.0,6.0,4.0,9.0,1.0,0.0,0.0,5.0,6.0,3.0,16.0,1.0,172.0,7.0,2.0,
ground beef,34.0,34.0,0.0,,1.0,9.0,3.0,,,28.0,,,,,,,,,,,,,,,,,
ground lamb,34.0,26.0,0.0,0.0,0.0,9.0,3.0,10.0,0.0,25.0,,,,,,,,,,,,,,,,,
guava,1.0,0.0,4.0,19.0,2.0,3.0,0.0,,,0.0,,,6.0,,,,,0.0,,,,,,,,,
hazelnut,15.0,41.0,20.0,9.0,11.0,24.0,3.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,
honey,1.0,0.0,30.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,
honeydew,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,20.0,0.0,2.0,1.0,5.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,5.0,1.0,2.0,,,
horseradish,2.0,1.0,4.0,12.0,4.0,2.0,18.0,0.0,28.0,0.0,6.0,2.0,5.0,8.0,6.0,5.0,0.0,0.0,1.0,2.0,2.0,14.0,1.0,1.0,,,
hot pepper,43.0,32.0,3.0,0.0,41.0,0.0,50.0,119.0,0.0,36.0,,,,,,,,,,,,,,,,,
hummus,14.0,37.0,8.0,25.0,5.0,7.0,20.0,40.0,10.0,0.0,,,,,,,,,,,,,,,,,
jalapeño,34.0,33.0,1.0,6.0,4.0,2.0,34.0,,,23.0,,,2.0,,,,,35.0,,,,,,,,,
jam or jelly,0.0,0.0,24.0,4.0,1.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,,,
jerusalem artichoke,4.0,0.0,6.0,6.0,1.0,19.0,0.0,0.0,4.0,0.0,4.0,6.0,9.0,1.0,16.0,1.0,1.0,0.0,17.0,5.0,8.0,3.0,5.0,0.0,3.0,8.0,
kale,7.0,1.0,4.0,6.0,10.0,9.0,2.0,1722.0,136.0,0.0,8.0,4.0,10.0,,29.0,,,,0.0,9.0,7.0,7.0,,690.0,43.0,,
kumquat,4.0,1.0,6.0,23.0,5.0,5.0,0.0,2.0,49.0,0.0,5.0,2.0,4.0,2.0,11.0,0.0,0.0,0.0,3.0,7.0,3.0,4.0,2.0,0.0,,,
lamb,34.0,26.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,24.0,,,,,,,,,,,,,,,,,
lamb chop,55.0,21.0,0.0,0.0,2.0,10.0,17.0,0.0,0.0,32.0,6.0,17.0,7.0,34.0,15.0,54.0,0.0,0.0,9.0,20.0,43.0,5.0,18.0,4.0,,,
lamb shank,40.0,15.0,0.0,0.0,1.0,7.0,3.0,1.0,0.0,22.0,5.0,13.0,6.0,35.0,9.0,12.0,2.0,0.0,8.0,7.0,26.0,,,,0.0,9.0,
lentil,7.0,7.0,4.0,12.0,2.0,8.0,17.0,4.0,9.0,0.0,5.0,6.0,6.0,5.0,17.0,3.0,0.0,0.0,6.0,5.0,5.0,16.0,3.0,7.0,,,
lettuce,2.0,0.0,1.0,5.0,2.0,1.0,1.0,34.0,9.0,0.0,3.0,2.0,5.0,2.0,4.0,1.0,0.0,0.0,6.0,5.0,2.0,10.0,2.0,62.0,,,
lima bean,14.0,9.0,7.0,23.0,1.0,12.0,9.0,0.0,0.0,0.0,10.0,8.0,10.0,8.0,24.0,8.0,0.0,0.0,12.0,4.0,2.0,18.0,5.0,7.0,,,
lime,18.0,19.0,14.0,3.0,3.0,7.0,3.0,12.0,6.0,83.0,5.0,12.0,3.0,11.0,13.0,36.0,0.0,8.0,8.0,21.0,1.0,9.0,31.0,1.0,,,
lime juice,0.0,0.0,2.0,,0.0,0.0,0.0,,37.0,,,,2.0,,,,,0.0,,,,,,,,,
lingonberry,0.0,0.0,16.0,9.0,,,0.0,,,,,,,,,,,,,,,,,,,,
lobster,42.0,1.0,0.0,0.0,8.0,2.0,23.0,0.0,0.0,54.0,11.0,16.0,5.0,41.0,190.0,146.0,0.0,0.0,2.0,1.0,12.0,2.0,16.0,0.0,,,
macadamia nut,16.0,97.0,5.0,31.0,7.0,20.0,0.0,0.0,1.0,0.0,31.0,15.0,8.0,12.0,84.0,7.0,4.0,0.0,100.0,12.0,15.0,3.0,,,180.0,15.0,
mango,5.0,0.0,31.0,18.0,3.0,0.0,0.0,,,0.0,,,19.0,,,,,0.0,,,,,,,,,
maple syrup,0.0,0.0,32.0,,8.0,,0.0,,,,,,6.0,,,,,,,,,,,,,,
marinade,0.0,43.0,2.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
marshmallow,6.0,0.0,28.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,,,,
melon,1.0,0.0,3.0,2.0,1.0,1.0,1.0,10.0,14.0,0.0,3.0,1.0,4.0,2.0,6.0,2.0,0.0,0.0,3.0,2.0,3.0,3.0,1.0,2.0,,,
mint,0.0,0.0,38.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
molasses,0.0,0.0,27.0,0.0,16.0,26.0,2.0,0.0,0.0,0.0,58.0,2.0,31.0,3.0,54.0,32.0,0.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,,,
monterey jack,47.0,38.0,0.0,0.0,51.0,0.0,27.0,111.0,0.0,33.0,,,,,,,,,,,,,,,,,
mozzarella,43.0,32.0,1.0,0.0,41.0,0.0,8.0,79.0,0.0,24.0,,,,,,,,,,,,,,,,,
mushroom,2.0,8.0,2.0,3.0,2.0,5.0,16.0,,,0.0,,,7.0,,,,,0.0,,,,,,,,,
mussel,30.0,4.0,2.0,0.0,3.0,28.0,16.0,6.0,9.0,12.0,10.0,20.0,9.0,18.0,13.0,103.0,0.0,0.0,14.0,19.0,12.0,10.0,15.0,0.0,,,
mustard,8.0,4.0,2.0,15.0,5.0,9.0,48.0,0.0,0.0,0.0,11.0,9.0,3.0,6.0,8.0,62.0,0.0,0.0,16.0,5.0,4.0,2.0,4.0,1.0,,,
mustard greens,7.0,0.0,2.0,12.0,8.0,7.0,1.0,680.0,52.0,0.0,,,8.0,,,,,0.0,,,,,,,,,
nut,35.0,50.0,13.0,15.0,3.0,33.0,0.0,,,,60.0,43.0,14.0,46.0,247.0,38.0,,,,,,,,,85.0,,
nutmeg,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,,,,0.0,
oat,1.0,3.0,2.0,2.0,12.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,1.0,,,
oatmeal,,9.0,24.0,32.0,26.0,133.0,0.0,618.0,74.0,0.0,,,0.0,,,,,,,,,,,,,,
octopus,26.0,17.0,5.0,2.0,4.0,27.0,23.0,4.0,3.0,14.0,7.0,13.0,6.0,13.0,40.0,68.0,0.0,0.0,14.0,8.0,16.0,12.0,10.0,10.0,,,
okra,6.0,0.0,3.0,4.0,6.0,3.0,0.0,39.0,13.0,0.0,,,,,,,,,,,,,,,,,
olive,1.0,39.0,2.0,6.0,5.0,19.0,36.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,,,
onion,22.0,1.0,22.0,8.0,1.0,20.0,19.0,9.0,0.0,0.0,,,,,,,,,83.0,26.0,29.0,,,,,,
orange,10.0,0.0,33.0,,,,17.0,,,,,,,,,,,,,,,,,,,,
orange juice,2.0,0.0,4.0,,11.0,,0.0,,28.0,,2.0,,4.0,,,,,210.0,0.0,,1.0,6.0,,,,,
oregano,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
orzo,25.0,2.0,29.0,13.0,0.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,,83.0,23.0,34.0,,,,,,
oyster,10.0,14.0,7.0,4.0,7.0,13.0,22.0,11.0,2.0,3.0,4.0,5.0,3.0,91.0,80.0,23.0,0.0,2.0,12.0,9.0,11.0,12.0,4.0,27.0,,,
parmesan,57.0,36.0,5.0,0.0,66.0,3.0,78.0,29.0,0.0,29.0,8.0,50.0,4.0,38.0,4.0,63.0,0.0,105.0,2.0,28.0,0.0,2.0,3.0,1.0,3.0,9.0,
parsley,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
parsnip,3.0,4.0,6.0,12.0,3.0,3.0,6.0,1.0,14.0,1.0,7.0,5.0,8.0,2.0,15.0,3.0,0.0,0.0,7.0,4.0,4.0,14.0,5.0,3.0,,,
pea,28.0,18.0,23.0,14.0,9.0,21.0,13.0,9.0,0.0,0.0,24.0,22.0,16.0,30.0,49.0,13.0,0.0,0.0,51.0,24.0,32.0,34.0,11.0,42.0,,,
peach,9.0,28.0,19.0,8.0,2.0,9.0,15.0,25.0,6.0,22.0,,,,,,,,,0.0,12.0,11.0,9.0,,,,,
peanut,18.0,35.0,22.0,11.0,5.0,6.0,2.0,34.0,4.0,5.0,,,,,,,,,,,,,,,,,
peanut butter,44.0,66.0,8.0,18.0,4.0,10.0,19.0,0.0,0.0,0.0,40.0,27.0,12.0,23.0,47.0,7.0,0.0,0.0,12.0,15.0,82.0,22.0,11.0,0.0,,,
pear,1.0,0.0,6.0,11.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,2.0,1.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,4.0,,,
pecan,18.0,92.0,5.0,34.0,5.0,14.0,0.0,0.0,1.0,0.0,29.0,22.0,9.0,41.0,133.0,7.0,0.0,0.0,55.0,10.0,7.0,6.0,7.0,3.0,196.0,17.0,
pepper,0.0,0.0,24.0,119.0,34.0,161.0,0.0,21.0,23.0,0.0,,,,,,,,,,,,,,,,,
persimmon,3.0,1.0,35.0,34.0,2.0,2.0,0.0,12.0,4.0,0.0,6.0,4.0,9.0,3.0,34.0,3.0,0.0,0.0,5.0,4.0,1.0,3.0,4.0,6.0,,,
pine nut,27.0,88.0,5.0,13.0,1.0,31.0,0.0,0.0,1.0,0.0,60.0,46.0,13.0,59.0,147.0,1.0,0.0,0.0,30.0,17.0,27.0,8.0,10.0,45.0,,,
pineapple,0.0,0.0,29.0,15.0,3.0,4.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
pistachio,40.0,60.0,10.0,36.0,10.0,27.0,17.0,37.0,4.0,0.0,48.0,40.0,,,148.0,,,,0.0,,,,,,,,
plantain,5.0,38.0,23.0,12.0,1.0,5.0,9.0,8.0,36.0,0.0,17.0,6.0,17.0,3.0,22.0,1.0,0.0,0.0,5.0,3.0,5.0,9.0,0.0,24.0,,,
plum,1.0,0.0,4.0,5.0,0.0,1.0,0.0,2.0,11.0,0.0,2.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,5.0,,,
pomegranate,0.0,0.0,4.0,0.0,1.0,,1.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,
pomegranate juice,0.0,0.0,4.0,0.0,3.0,0.0,0.0,,11.0,0.0,,,6.0,,,,,220.0,,,,,,,,,
poppy,2.0,43.0,9.0,1.0,5.0,1.0,41.0,6.0,0.0,5.0,2.0,4.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,42.0,,,
pork,42.0,5.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,25.0,,,,,,,,,,,,,,,,,
pork chop,37.0,12.0,3.0,4.0,1.0,4.0,18.0,3.0,0.0,15.0,5.0,14.0,6.0,12.0,8.0,74.0,0.0,2.0,37.0,13.0,36.0,14.0,10.0,3.0,,,
pork rib,32.0,19.0,4.0,1.0,3.0,5.0,29.0,1.0,0.0,19.0,4.0,10.0,5.0,20.0,11.0,41.0,0.0,4.0,27.0,19.0,34.0,0.0,10.0,0.0,,,
pork tenderloin,36.0,3.0,1.0,,,,13.0,,1.0,18.0,,,,,,,,,,,,,,,,,
potato,8.0,15.0,5.0,5.0,3.0,4.0,10.0,7.0,1.0,25.0,3.0,6.0,5.0,4.0,2.0,11.0,0.0,2.0,9.0,11.0,6.0,6.0,10.0,7.0,,,
prune,4.0,0.0,24.0,12.0,2.0,16.0,1.0,11.0,5.0,0.0,,6.0,18.0,,,,,,3.0,,16.0,,,,,9.0,
pumpkin,2.0,0.0,3.0,11.0,2.0,9.0,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,
quail,50.0,18.0,0.0,0.0,1.0,24.0,9.0,8.0,3.0,29.0,5.0,22.0,5.0,28.0,66.0,39.0,0.0,1.0,18.0,23.0,49.0,2.0,12.0,4.0,,,
quince,1.0,0.0,6.0,7.0,1.0,4.0,0.0,4.0,17.0,0.0,2.0,1.0,4.0,0.0,14.0,1.0,,,2.0,2.0,1.0,1.0,,,,2.0,
quinoa,20.0,5.0,25.0,21.0,3.0,16.0,27.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
rabbit,60.0,11.0,0.0,0.0,2.0,13.0,15.0,0.0,0.0,28.0,5.0,18.0,6.0,21.0,19.0,69.0,0.0,0.0,5.0,13.0,44.0,2.0,22.0,1.0,,,
